Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11208,2022-02-24,-0.07272727,-0.014050933,-0.014854341,21,100
Market-Adjusted Model,11264,2022-02-24,-0.234480035,-0.154371555,-0.176607106,21,100
Market-Adjusted Model,11267,2022-02-24,0.0520402765,0.1112496882,0.109913205,21,100
Market-Adjusted Model,11275,2022-02-24,-0.009771978,0.0532867503,0.0481009509,21,100
Market-Adjusted Model,11285,2022-02-24,-0.063825201,-0.002935287,-0.005952272,21,100
Market-Adjusted Model,11292,2022-02-24,0.0320592192,0.0938499192,0.0899321477,21,100
Market-Adjusted Model,11293,2022-02-24,-0.070838883,-0.010748928,-0.012965954,21,100
Market-Adjusted Model,11308,2022-02-24,-0.066451597,-0.009199488,-0.008578669,21,100
Market-Adjusted Model,11343,2022-02-24,-0.011112968,0.0459399885,0.04675996,21,100
Market-Adjusted Model,11368,2022-02-24,-0.213734841,-0.165799204,-0.155861912,21,100
Market-Adjusted Model,11369,2022-02-24,-0.041779745,0.0197293207,0.0160931833,21,100
Market-Adjusted Model,11370,2022-02-24,0.0343612875,0.0960368275,0.092234216,21,100
Market-Adjusted Model,11379,2022-02-24,-0.13402064,-0.069107408,-0.076147711,21,56
Market-Adjusted Model,11394,2022-02-24,-0.29061517,-0.270880459,-0.232742242,21,100
Market-Adjusted Model,11397,2022-02-24,-0.066226276,-0.008915186,-0.008353348,21,100
Market-Adjusted Model,11403,2022-02-24,0.0073465723,0.074195845,0.0652195008,21,100
Market-Adjusted Model,11404,2022-02-24,0.0453454125,0.1035893137,0.103218341,21,100
Market-Adjusted Model,11407,2022-02-24,-0.083820627,-0.024417293,-0.025947699,21,100
Market-Adjusted Model,11442,2022-02-24,-0.029353961,0.0295909095,0.0285189677,21,100
Market-Adjusted Model,11481,2022-02-24,0.5273980761,0.5752608855,0.5852710047,21,100
Market-Adjusted Model,11499,2022-02-24,-0.039792392,0.0239114446,0.0180805363,21,100
Market-Adjusted Model,11511,2022-02-24,0.315624999,0.4352091196,0.3734979275,21,100
Market-Adjusted Model,11533,2022-02-24,-0.060236492,0.0012271713,-0.002363564,21,100
Market-Adjusted Model,11547,2022-02-24,-0.010511099,0.0495053811,0.0473618294,21,100
Market-Adjusted Model,11565,2022-02-24,-0.06258823,-0.000061207,-0.004715302,21,100
Market-Adjusted Model,11581,2022-02-24,0.0923943289,0.1491508736,0.1502672574,21,100
Market-Adjusted Model,11587,2022-02-24,0.1484773263,0.1991540267,0.2063502548,21,100
Market-Adjusted Model,11593,2022-02-24,0.02313347,0.0810645562,0.0810063985,21,100
Market-Adjusted Model,11600,2022-02-24,-0.04377358,0.019704364,0.0140993489,21,100
Market-Adjusted Model,11618,2022-02-24,0.0158523362,0.0745384371,0.0737252647,21,100
Market-Adjusted Model,11628,2022-02-24,-0.06794332,-0.00895797,-0.010070392,21,100
Market-Adjusted Model,11636,2022-02-24,-0.39051916,-0.395419367,-0.332646231,21,100
Market-Adjusted Model,11644,2022-02-24,0.3595658876,0.3768607711,0.4174388161,21,100
Market-Adjusted Model,11654,2022-02-24,-0.170454548,-0.124603302,-0.112581619,21,100
Market-Adjusted Model,11664,2022-02-24,-0.145035671,-0.080284223,-0.087162742,21,100
Market-Adjusted Model,11674,2022-02-24,0.0614525377,0.1190280868,0.1193254662,21,100
Market-Adjusted Model,11691,2022-02-24,0.1719947734,0.226926401,0.2298677019,21,100
Market-Adjusted Model,11701,2022-02-24,0.0692951456,0.1296766781,0.1271680741,21,100
Market-Adjusted Model,11731,2022-02-24,-0.048674528,0.0112768452,0.0091984002,21,100
Market-Adjusted Model,11748,2022-02-24,-0.019889564,0.0422974921,0.0379833647,21,100
Market-Adjusted Model,11752,2022-02-24,-0.010476049,0.0577107431,0.0473968797,21,100
Market-Adjusted Model,11762,2022-02-24,-0.016435659,0.0458944535,0.0414372693,21,100
Market-Adjusted Model,11775,2022-02-24,-0.049846845,0.0095108074,0.0080260835,21,100
Market-Adjusted Model,11786,2022-02-24,-0.150725688,-0.086514081,-0.09285276,21,100
Market-Adjusted Model,11790,2022-02-24,0.0702076681,0.1262469619,0.1280805966,21,100
Market-Adjusted Model,11803,2022-02-24,-0.101440192,-0.044826667,-0.043567264,21,100
Market-Adjusted Model,11809,2022-02-24,0.1349758827,0.1900757006,0.1928488112,21,100
Market-Adjusted Model,11825,2022-02-24,-0.018263598,0.045744874,0.0396093308,21,100
Market-Adjusted Model,11844,2022-02-24,-0.059483677,-0.002515205,-0.001610748,21,100
Market-Adjusted Model,11845,2022-02-24,-0.198391158,-0.147613318,-0.140518229,21,100
Market-Adjusted Model,11850,2022-02-24,0.0753905333,0.1342824797,0.1332634618,21,100
Market-Adjusted Model,11884,2022-02-24,-0.155828355,-0.106518927,-0.097955427,21,100
Market-Adjusted Model,11891,2022-02-24,-0.133632698,-0.072296458,-0.075759769,21,100
Market-Adjusted Model,11955,2022-02-24,0.0434033972,0.1025038312,0.1012763257,21,100
Market-Adjusted Model,11990,2022-02-24,-0.192788637,-0.141940589,-0.134915709,21,100
Market-Adjusted Model,11995,2022-02-24,-0.179688194,-0.097190288,-0.121815266,21,100
Market-Adjusted Model,11996,2022-02-24,-0.07913061,-0.022863729,-0.021257682,21,100
Market-Adjusted Model,12008,2022-02-24,0.0275128177,0.0937778265,0.0853857462,21,100
Market-Adjusted Model,12009,2022-02-24,0.2505307438,0.2989021204,0.3084036723,21,100
Market-Adjusted Model,12015,2022-02-24,0.0678159346,0.1258867756,0.1256888632,21,100
Market-Adjusted Model,12017,2022-02-24,-0.22962967,-0.194427124,-0.171756742,21,100
Market-Adjusted Model,12034,2022-02-24,0.0851211437,0.1397150976,0.1429940722,21,100
Market-Adjusted Model,12035,2022-02-24,0.034051708,0.0930182675,0.0919246365,21,100
Market-Adjusted Model,12036,2022-02-24,0.1243392075,0.1771127662,0.182212136,21,100
Market-Adjusted Model,12039,2022-02-24,-0.008721953,0.0494441233,0.0491509754,21,100
Market-Adjusted Model,12049,2022-02-24,0.4437499341,0.4482502429,0.5016228626,21,100
Market-Adjusted Model,12052,2022-02-24,0.0982001161,0.1539727551,0.1560730447,21,100
Market-Adjusted Model,12054,2022-02-24,-0.06588925,-0.005435235,-0.008016322,21,100
Market-Adjusted Model,12059,2022-02-24,-0.003781583,0.0531528785,0.0540913455,21,100
Market-Adjusted Model,12060,2022-02-24,-0.07949271,-0.018009604,-0.021619781,21,100
Market-Adjusted Model,12062,2022-02-24,-0.04302815,0.0153624676,0.0148447785,21,100
